date,vehicle_category,manufacturer,registrations
2023-01-01,2W,"""VOLVO GROUP INDIA PVT LTD""",3740.0
2023-01-01,2W,3EV INDUSTRIES PVT LTD,1093.0
2023-01-01,2W,3S INDUSTRIES PRIVATE LIMITED,534.0
2023-01-01,2W,A B EXCAVATORS & EARTHMOVERS PVT LTD,13.0
2023-01-01,2W,A D AGRO WORKS,236.0
2023-01-01,2W,A K AUTTO ELECTRICAL,51.0
2023-01-01,2W,A K GUPTA & CO.,1175.0
2023-01-01,2W,A K S ENG AGRO INDUSTRIES,100.0
2023-01-01,2W,A P I MOTORS PVT LTD,2358.0
2023-01-01,2W,A R AGRO TECH,100.0
2023-01-01,2W,A-1 SUREJA INDUSTRIES,6.0
2023-01-01,2W,A.V.AUTOMOTIVES PVT LTD,2752.0
2023-01-01,2W,A1 HEAVY EQUIPMENTS DEVELOPER,53.0
2023-01-01,2W,AADHYA ENTERPRISES,1599.0
2023-01-01,2W,AADITYA EMOTORS INDIA PVT LTD,8.0
2023-01-01,2W,AADITYA GARBAGE PRODUCTS PVT LTD,75.0
2023-01-01,2W,AAHANA COMMERCE PVT LTD,1846.0
2023-01-01,2W,AARGEE ELECTRIC,45.0
2023-01-01,2W,AARON INDUSTRIES,82.0
2023-01-01,2W,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,14.0
2023-01-01,2W,ABZO MOTORS PVT LTD,43.0
2023-01-01,2W,ACCRETION POWER AUTOS,1210.0
2023-01-01,2W,ACTION CONSTRUCTION EQUIPMENT LTD.,17783.0
2023-01-01,2W,ADAPT MOTORS PVT LTD,25.0
2023-01-01,2W,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,4664.0
2023-01-01,2W,ADIDEV TECHNOA PVT LTD,1397.0
2023-01-01,2W,ADISHAKTI TRACTORS,100.0
2023-01-01,2W,ADISHWAR AUTO RIDE INDIA PVT LTD,788.0
2023-01-01,2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,23.0
2023-01-01,2W,ADITYA AGRO INDUSTRIES,149.0
2023-01-01,2W,ADITYA ENTERPRISES,28.0
2023-01-01,2W,ADITYA SAI INDUSTRIES,383.0
2023-01-01,2W,ADM TECHNOLOGIES PVT. LTD.,284.0
2023-01-01,2W,ADRIS ELECTRIC PVT LTD,149.0
2023-01-01,2W,AFTEK MOTORS INDIA PVT LTD,304.0
2023-01-01,2W,"AFZAL ENGG WORKS,JUNAGARH",33.0
2023-01-01,2W,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,160.0
2023-01-01,2W,AGRO INDUSTRIES,329.0
2023-01-01,2W,AHITESHAM AGRO ENGINEERING,46.0
2023-01-01,2W,AHMED MOTORS,181.0
